name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
houston,2024-01-01,17.9,10.1,15.3,17.9,10.1,15.3,11.5,79.2,24.85,100,33.33,rain,0,0,32.4,23.7,6.2,1022.3,95.2,10.8,50,4.3,3,10,2024-01-01T07:16:55,2024-01-01T17:33:08,0.69,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2024-01-02,11.2,6.1,8.8,11.2,2.7,7,4.4,74.3,7.999,100,16.67,rain,0,0,53,39.8,78.5,1021.6,97.2,14.5,33.7,2.9,2,10,2024-01-02T07:17:09,2024-01-02T17:33:51,0.72,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
houston,2024-01-03,14,7.1,9.8,14,3.6,8.1,6.7,82.2,18.274,100,16.67,rain,0,0,63.7,37.7,14.7,1018.8,65.5,14.9,54.9,4.8,6,10,2024-01-03T07:17:22,2024-01-03T17:34:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,72243012960,D0326"
houston,2024-01-04,15.1,7.1,11.3,15.1,4.5,10.5,5.1,67.2,0,0,0,,0,0,55.2,39,104.8,1019,32.5,16,48.1,4.1,6,10,2024-01-04T07:17:33,2024-01-04T17:35:19,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2024-01-05,16.1,9.2,12.9,16.1,5.9,12.7,9.2,80.1,28.517,100,37.5,rain,0,0,53.5,37.9,35.3,1010,61.4,12.9,42.3,3.7,6,10,2024-01-05T07:17:42,2024-01-05T17:36:04,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KMCJ,72244012918,D0326"
houston,2024-01-06,16.2,7.8,12.1,16.2,6.7,11.7,5.7,67.4,0,0,0,,0,0,22.3,19.4,327.4,1013.6,26.1,15.7,40,3.4,3,10,2024-01-06T07:17:50,2024-01-06T17:36:50,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
houston,2024-01-07,15.1,8.8,12,15.1,7,11.6,5.4,65.8,0,0,0,,0,0,44.6,35.9,109.9,1019.2,45.3,15.2,55.7,4.9,4,10,2024-01-07T07:17:56,2024-01-07T17:37:36,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KMCJ,72244012918,D0326"
houston,2024-01-08,23.1,10.2,16,23.1,10.2,16,13.4,84.8,12.463,100,58.33,rain,0,0,68.2,44.1,147.6,1005,97.6,11.1,28.2,2.4,2,75,2024-01-08T07:18:01,2024-01-08T17:38:23,0.91,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2024-01-09,13,6.1,9.6,13,0.6,7.8,-3.7,39.8,0.561,100,12.5,rain,0,0,80.3,50.3,302,1011.2,27.6,15.7,38.3,3.2,6,10,2024-01-09T07:18:03,2024-01-09T17:39:11,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
houston,2024-01-10,19.1,8.5,13.8,19.1,5.3,12.9,2.8,48.9,0,0,0,,0,0,44.6,28.8,194.5,1011.9,42.5,16,46.7,4.1,6,10,2024-01-10T07:18:05,2024-01-10T17:40:00,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHOU,72059400188,KIAH,KMCJ,72244012918,D0326"
